filename,basename,genre_selfascription,genre
thoma-die-medaille.xml,thoma-die-medaille,Komödie in einem Akt,Komödie
bauernfeld-grossjaehrig.xml,bauernfeld-grossjaehrig,Lustspiel in zwei Aufzügen,Lustspiel
schlosser-die-maskerade.xml,schlosser-die-maskerade,Ein Lustspiel in einem Akt,Lustspiel
anzengruber-der-pfarrer-von-kirchfeld.xml,anzengruber-der-pfarrer-von-kirchfeld,Volksstück mit Gesang in vier Akten,
klemm-der-auf-den-parnass-versetzte-gruene-hut.xml,klemm-der-auf-den-parnass-versetzte-gruene-hut,Ein Lustspiel in drey Aufzügen,Lustspiel
bueschel-die-neue-messaline.xml,bueschel-die-neue-messaline,Trauerspiel in einem Akt,Trauerspiel
baggesen-der-vollendete-faust.xml,baggesen-der-vollendete-faust,Ein dramatisches Gedicht in drei Abtheilungen,
scheerbart-das-gift.xml,scheerbart-das-gift,Eine Mondschein-Komödie,Komödie
wieland-lady-johanna-gray.xml,wieland-lady-johanna-gray,Ein Trauerspiel,Trauerspiel
koerner-zriny.xml,koerner-zriny,Ein Trauerspiel in fünf Aufzügen,Trauerspiel
heiseler-die-kinder-godunofs.xml,heiseler-die-kinder-godunofs,Tragödie,Tragödie
iffland-liebe-und-wille.xml,iffland-liebe-und-wille,Ein ländliches Gespräch in einer Handlung,
heym-atalanta-oder-die-angst.xml,heym-atalanta-oder-die-angst,,
koller-der-zauberstein.xml,koller-der-zauberstein,Eine Posse in einem Aufzuge. Vierte Fortsetzung der beiden Billets,
chezy-euryanthe.xml,chezy-euryanthe,Romantische Oper in drei Aufzügen,
lortzing-zar-und-zimmermann.xml,lortzing-zar-und-zimmermann,Komische Oper in drei Aufzügen,
schnitzler-der-gruene-kakadu.xml,schnitzler-der-gruene-kakadu,Groteske in einem Akt,
schikaneder-die-zauberfloete.xml,schikaneder-die-zauberfloete,Große Oper in zwey Aufzügen,
stramm-erwachen.xml,stramm-erwachen,,
sudermann-stein-unter-steinen.xml,sudermann-stein-unter-steinen,Schauspiel in vier Akten,
hofmannsthal-jedermann.xml,hofmannsthal-jedermann,Das Spiel vom Sterben des reichen Mannes,
grillparzer-der-traum-ein-leben.xml,grillparzer-der-traum-ein-leben,Dramatisches Märchen in vier Aufzügen,
lawaetz-die-diamanten.xml,lawaetz-die-diamanten,Ein Schauspiel in einem Aufzuge. (Wahre Geschichte.),
eckartshausen-der-pudelhund.xml,eckartshausen-der-pudelhund,Ein Lustspiel in einem Aufzuge,Lustspiel
scheerbart-der-vornehme-raeuberhauptmann.xml,scheerbart-der-vornehme-raeuberhauptmann,Ein Bühnenspass in drei Aufzügen,
goentgen-anna-bell.xml,goentgen-anna-bell,Ein Trauerspiel in einem Akt,Trauerspiel
eichendorff-der-letzte-held-von-marienburg.xml,eichendorff-der-letzte-held-von-marienburg,Trauerspiel,Trauerspiel
benedix-eigensinn.xml,benedix-eigensinn,Lustspiel in einem Aufzuge,Lustspiel
holz-ignorabimus.xml,holz-ignorabimus,Tragödie,Tragödie
arnim-jerusalem.xml,arnim-jerusalem,Ein Pilgerabenteuer,
schouwaert-die-ueberschwemmung.xml,schouwaert-die-ueberschwemmung,Ein Schauspiel in drey Akten,
zedlitz-cabinets-intriguen.xml,zedlitz-cabinets-intriguen,Lustspiel in drei Aufzügen,Lustspiel
goethe-erwin-und-elmire.xml,goethe-erwin-und-elmire,Ein Schauspiel mit Gesang,
hebbel-der-gehoernte-siegfried.xml,hebbel-der-gehoernte-siegfried,Vorspiel in einem Akt,
mylius-die-schaeferinsel.xml,mylius-die-schaeferinsel,Ein Lustspiel in drey Aufzügen,Lustspiel
platen-die-verhaengnisvolle-gabel.xml,platen-die-verhaengnisvolle-gabel,Ein Lustspiel in 5 Akten,Lustspiel
grillparzer-die-ahnfrau.xml,grillparzer-die-ahnfrau,Trauerspiel in fünf Aufzügen,Trauerspiel
benedix-die-hochzeitsreise.xml,benedix-die-hochzeitsreise,Lustspiel in zwei Aufzügen,Lustspiel
uhland-ernst-herzog-von-schwaben.xml,uhland-ernst-herzog-von-schwaben,Trauerspiel in fünf Aufzügen,Trauerspiel
bredow-goerne-hypatia.xml,bredow-goerne-hypatia,Ein Trauerspiel nach dem gleichnamigen Roman von Kingsley,Trauerspiel
sander-die-hoftrauer-oder-das-testament.xml,sander-die-hoftrauer-oder-das-testament,Ein Lustspiel in einem Aufzuge,Lustspiel
wagner-der-fliegende-hollaender.xml,wagner-der-fliegende-hollaender,,
niebergall-datterich.xml,niebergall-datterich,Localposse in der Mundart der Darmstädter in sechs Bildern,
pfeil-lucie-woodvil.xml,pfeil-lucie-woodvil,Ein bürgerliches Trauerspiel in fünf Handlungen,Trauerspiel
birch-pfeiffer-johannes-gutenberg.xml,birch-pfeiffer-johannes-gutenberg,Original-Schauspiel in drei Abtheilungen,
kotzebue-wer-weiss-wozu-das-gut-ist.xml,kotzebue-wer-weiss-wozu-das-gut-ist,Ein Schwank in Einem Akt,
droste-huelshoff-perdu.xml,droste-huelshoff-perdu,Lustspiel in einem Akte,Lustspiel
