filename,genre_selfascription,genre
kotzebue-der-verschwiegene-wider-willen.xml,Ein Lustspiel in Einem Act,Lustspiel
tieck-die-verkehrte-welt.xml,Ein historisches Schauspiel in fünf Aufzügen,
schiller-die-braut-von-messina.xml,Ein Trauerspiel mit Chören,Trauerspiel
chlumberg-die-fuehrer.xml,Ein Schauspiel in vier Akten und einem Vorspiel,
larronge-hasemanns-toechter.xml,Volksstück in 4 Akten,
weissenthurn-welche-ist-die-braut.xml,Ein Lustspiel in fünf Aufzügen,Lustspiel
goethe-die-natuerliche-tochter.xml,Trauerspiel,Trauerspiel
waldvogl-die-falschen-banknoten.xml,Ein Trauerspiel in drey Akten,Trauerspiel
schlaf-meister-oelze.xml,Drama in drei Aufzügen,
goethe-die-laune-des-verliebten.xml,Ein Schäferspiel in Versen und einem Akte,
tieck-karl-von-berneck.xml,Trauerspiel in fünf Aufzügen,Trauerspiel
gessner-evander-und-alcimna.xml,Ein Schæferspiel,
lautensack-medusa.xml,Aus den Papieren eines Mönches,
platen-der-romantische-oedipus.xml,Ein Lustspiel in 5 Akten,Lustspiel
rosenow-kater-lampe.xml,Komödie in vier Akten,Komödie
schlegel-der-geschaeftige-muessiggaenger.xml,Ein Lustspiel,Lustspiel
busoni-turandot.xml,Eine chinesische Fabel nach Gozzi in zwei Akten,
anonym-emilie-oder-die-philosophisch-verliebten.xml,Ein Lustspiel von einem Aufzuge,Lustspiel
berg-kalisch-berlin-wie-es-weint-und-lacht.xml,Volksstück mit Gesang in 3 Aufzügen und 11 Bildern,
essig-ueberteufel.xml,Tragödie in fünf Aufzügen,Tragödie
lautensack-hahnenkampf.xml,Eine Komödie in sechs Szenen,Komödie
ebner-eschenbach-die-veilchen.xml,Lustspiel in einem Aufzuge,Lustspiel
weissenthurn-welcher-ist-der-braeutigam.xml,Ein Lustspiel in 4 Aufzügen,Lustspiel
hebbel-herodes-und-mariamne.xml,Eine Tragödie in fünf Akten,Tragödie
scheerbart-die-wurzeln-der-wohlhabenheit.xml,Ein schildbürgerliches Schauspiel in fünf Akten,
stramm-rudimentaer.xml,,
hauptmann-carl-der-antiquar.xml,Komödie in einem Akt,Komödie
heiseler-peter-und-alexej.xml,Tragödie,Tragödie
kaiser-die-industrie-ausstellung.xml,Volksstück mit Gesang in zwei Acten,
iffland-verbrechen-aus-ehrsucht.xml,Ein Familiengemälde in fünf Aufzügen,
mosenthal-die-lustigen-weiber-von-windsor.xml,Komisch-phantastische Oper in drei Aufzügen,
wagner-parsifal.xml,Ein Bühnenweihfestspiel,
gotter-die-erbschleicher.xml,Ein Lustspiel in fünf Akten,Lustspiel
heine-william-ratcliff.xml,Tragödie,Tragödie
malss-der-alte-buerger-capitain.xml,Lustspiel in zwei Aufzügen,Lustspiel
spiess-klara-von-hoheneichen.xml,Ritterschauspiel aus dem funfzehnten Jahrhunderte in vier Aufzügen,
anzengruber-das-vierte-gebot.xml,Volksstück in vier Akten,
laufs-jacoby-pension-schoeller.xml,Posse in drei Aufzügen,
kotzebue-graf-benjowsky.xml,Ein Schauspiel in fünf Aufzügen,
devrient-die-gunst-des-augenblicks.xml,Lustspiel in drei Akten,Lustspiel
alberti-im-suff.xml,"Naturalistische Spital-Katastrophe in zwei Vorgängen und einem
          Nachgang",
neuber-das-schaeferfest.xml,Ein deutsches Lustspiel in Versen,Lustspiel
schoenthan-der-raub-der-sabinerinnen.xml,Schwank in vier Akten,
iffland-figaro-in-deutschland.xml,Ein Lustspiel in fünf Aufzügen,Lustspiel
goering-seeschlacht.xml,Tragödie,Tragödie
hofmannsthal-alkestis.xml,Ein Trauerspiel nach Euripides,Trauerspiel
nestroy-judith-und-holofernes.xml,Travestie in einem Akt,
raimund-der-verschwender.xml,Original-Zaubermärchen in drei Aufzügen,
goethe-clavigo.xml,Ein Trauerspiel,Trauerspiel
klopstock-der-tod-adams.xml,Ein Trauerspiel,Trauerspiel
reuter-der-ehrlichen-frau-schlampampe-krankheit-und-tod.xml,"in einem Lust- und Trauerspiele vorgestellet und aus dem Französischen in
          das Teutsche übergesetzt von Schelmuffsky Reise-Gefährten",Trauerspiel
goethe-des-epimenides-erwachen.xml,Ein Festspiel,
benedix-johanna-sebus.xml,Drama in 1 Akt,
