filename,author,title,year,stage_count,stage_word_count,stage_avg_words,word_count_l_p,stage_per_1k_words,stage_words_per_1k
benedix-das-bemooste-haupt.xml,Benedix,Das bemooste Haupt oder Der lange Israël,1840,311,1524,4.9003,15306,20.3188,99.5688
benedix-die-hochzeitsreise.xml,Benedix,Die Hochzeitsreise,1853,299,1553,5.194,9480,31.5401,163.8186
benedix-die-luegnerin.xml,Benedix,Die Lügnerin,1851,177,705,3.9831,5469,32.3642,128.9084
benedix-doctor-wespe.xml,Benedix,Doctor Wespe,1844,470,1655,3.5213,20652,22.7581,80.1375
benedix-eigensinn.xml,Benedix,Eigensinn,1849,221,1146,5.1855,3977,55.5695,288.1569
benedix-johanna-sebus.xml,Benedix,Johanna Sebus,1835,102,453,4.4412,6198,16.4569,73.0881
benedix-unerschuetterlich.xml,Benedix,Unerschütterlich,1848,81,353,4.358,3233,25.0541,109.1865
benkowitz-die-jubelfeier-der-hoelle.xml,Benkowitz,"Die Jubelfeier der Hölle, oder Faust der jüngere",1801,360,2621,7.2806,24854,14.4846,105.4559
berg-kalisch-berlin-wie-es-weint-und-lacht.xml,Berg,"Berlin, wie es weint und lacht",1858,631,3774,5.981,15216,41.4695,248.0284
bernard-faust.xml,Bernard,Faust,,414,1933,4.6691,7356,56.2806,262.7787
beyer-der-hausherr-in-der-klemme.xml,Beyer,Der Hausherr in der Klemme,1813,113,470,4.1593,4067,27.7846,115.5643
bierbaum-stella-und-antonie.xml,Bierbaum,Stella und Antonie,1903,554,4052,7.3141,19333,28.6557,209.5898
birch-pfeiffer-die-grille.xml,Birch-Pfeiffer,Die Grille,1856,1103,6301,5.7126,21483,51.3429,293.3017
birch-pfeiffer-die-walpurgisnacht.xml,Birch-Pfeiffer,Die Walpurgisnacht,1866,479,3238,6.7599,14475,33.0915,223.696
birch-pfeiffer-in-der-heimath.xml,Birch-Pfeiffer,In der Heimath,1865,948,4193,4.423,20870,45.4241,200.9104
birch-pfeiffer-johannes-gutenberg.xml,Birch-Pfeiffer,Johannes Gutenberg,1836,457,2971,6.5011,16218,28.1786,183.1915
birch-pfeiffer-mutter-und-tochter.xml,Birch-Pfeiffer,Mutter und Tochter,1847,888,4219,4.7511,20719,42.8592,203.6295
birch-pfeiffer-pfeffer-roesel.xml,Birch-Pfeiffer,Pfeffer-Rösel oder Die Frankfurter Messe im Jahre 1297,1833,492,4838,9.8333,15321,32.1128,315.7757
birch-pfeiffer-vatersorgen.xml,Birch-Pfeiffer,Vatersorgen,1849,795,3456,4.3472,17035,46.6686,202.8764
bleibtreu-ein-faust-der-that.xml,Bleibtreu,Ein Faust der That,1889,720,3027,4.2042,33349,21.5899,90.7673
bleibtreu-weltgericht.xml,Bleibtreu,Weltgericht,1888,933,3891,4.1704,13355,69.8615,291.3516
blumenthal-im-weissen-roessl.xml,Blumenthal,Im weißen Rößl,1898,637,3151,4.9466,19424,32.7945,162.222
bodmer-odoardo-galotti-vater-der-emilia.xml,Bodmer,"Odoardo Galotti, Vater der Emilia",1778,20,116,5.8,5163,3.8737,22.4676
bodmer-polytimet.xml,Bodmer,Polytimet,1760,7,19,2.7143,5503,1.272,3.4527
boesenberg-die-amerikanische-waise.xml,Bösenberg,Die amerikanische Waise,1791,141,496,3.5177,9567,14.7382,51.8449
